zone,datetime,value,unit,source
DE,2026-09-06T09:00:00.000Z,-0.04,EUR/MWh,nordpool.com
DE,2026-09-06T10:00:00.000Z,-1.11,EUR/MWh,nordpool.com
DE,2026-09-06T11:00:00.000Z,-1.63,EUR/MWh,nordpool.com
DE,2026-09-06T12:00:00.000Z,-0.66,EUR/MWh,nordpool.com
DE,2026-09-06T13:00:00.000Z,0,EUR/MWh,nordpool.com
DE,2026-09-06T14:00:00.000Z,19.95,EUR/MWh,nordpool.com
DE,2026-09-06T15:00:00.000Z,123.17,EUR/MWh,nordpool.com
ES,2026-09-05T15:00:00.000Z,77.68,EUR/MWh,entsoe.eu
ES,2026-09-05T16:00:00.000Z,151.5,EUR/MWh,entsoe.eu
ES,2026-09-05T17:00:00.000Z,185.39,EUR/MWh,entsoe.eu
ES,2026-09-05T18:00:00.000Z,213.2,EUR/MWh,entsoe.eu
ES,2026-09-05T19:00:00.000Z,222.93,EUR/MWh,entsoe.eu
ES,2026-09-05T20:00:00.000Z,217.5,EUR/MWh,entsoe.eu
ES,2026-09-05T21:00:00.000Z,213.27,EUR/MWh,entsoe.eu
ES,2026-09-05T22:00:00.000Z,207.39,EUR/MWh,entsoe.eu
ES,2026-09-05T23:00:00.000Z,205.94,EUR/MWh,entsoe.eu
ES,2026-09-06T00:00:00.000Z,202.96,EUR/MWh,entsoe.eu
ES,2026-09-06T01:00:00.000Z,200.87,EUR/MWh,entsoe.eu
ES,2026-09-06T02:00:00.000Z,197.35,EUR/MWh,entsoe.eu
ES,2026-09-06T03:00:00.000Z,195.41,EUR/MWh,entsoe.eu
ES,2026-09-06T04:00:00.000Z,195.39,EUR/MWh,entsoe.eu
ES,2026-09-06T05:00:00.000Z,199.27,EUR/MWh,entsoe.eu
ES,2026-09-06T06:00:00.000Z,192.44,EUR/MWh,entsoe.eu
ES,2026-09-06T07:00:00.000Z,108.89,EUR/MWh,entsoe.eu
ES,2026-09-06T08:00:00.000Z,28.79,EUR/MWh,entsoe.eu
ES,2026-09-06T09:00:00.000Z,0.45,EUR/MWh,entsoe.eu
ES,2026-09-06T10:00:00.000Z,0,EUR/MWh,entsoe.eu
ES,2026-09-06T11:00:00.000Z,0.01,EUR/MWh,entsoe.eu
ES,2026-09-06T12:00:00.000Z,0.51,EUR/MWh,entsoe.eu
ES,2026-09-06T13:00:00.000Z,0.4,EUR/MWh,entsoe.eu
ES,2026-09-06T14:00:00.000Z,20.07,EUR/MWh,entsoe.eu
ES,2026-09-06T15:00:00.000Z,96.63,EUR/MWh,entsoe.eu
GB,2026-09-05T15:00:00.000Z,78.66,GBP/MWh,nordpool.com
GB,2026-09-05T16:00:00.000Z,150.19,GBP/MWh,nordpool.com
GB,2026-09-05T17:00:00.000Z,164.81,GBP/MWh,nordpool.com
GB,2026-09-05T18:00:00.000Z,176.83,GBP/MWh,nordpool.com
GB,2026-09-05T19:00:00.000Z,176.32,GBP/MWh,nordpool.com
GB,2026-09-05T20:00:00.000Z,170.67,GBP/MWh,nordpool.com
GB,2026-09-05T21:00:00.000Z,156.59,GBP/MWh,nordpool.com
GB,2026-09-05T22:00:00.000Z,158.2,GBP/MWh,nordpool.com
GB,2026-09-05T23:00:00.000Z,154.98,GBP/MWh,nordpool.com
GB,2026-09-06T00:00:00.000Z,150,GBP/MWh,nordpool.com
GB,2026-09-06T01:00:00.000Z,133.76,GBP/MWh,nordpool.com
GB,2026-09-06T02:00:00.000Z,119.37,GBP/MWh,nordpool.com
GB,2026-09-06T03:00:00.000Z,115.24,GBP/MWh,nordpool.com
GB,2026-09-06T04:00:00.000Z,117.18,GBP/MWh,nordpool.com
GB,2026-09-06T05:00:00.000Z,109.06,GBP/MWh,nordpool.com
GB,2026-09-06T06:00:00.000Z,86.76,GBP/MWh,nordpool.com
GB,2026-09-06T07:00:00.000Z,27.96,GBP/MWh,nordpool.com
GB,2026-09-06T08:00:00.000Z,2.83,GBP/MWh,nordpool.com
GB,2026-09-06T09:00:00.000Z,1.01,GBP/MWh,nordpool.com
GB,2026-09-06T10:00:00.000Z,1,GBP/MWh,nordpool.com
GB,2026-09-06T11:00:00.000Z,1.34,GBP/MWh,nordpool.com
GB,2026-09-06T12:00:00.000Z,-0.92,GBP/MWh,nordpool.com
GB,2026-09-06T13:00:00.000Z,-0.9,GBP/MWh,nordpool.com
GB,2026-09-06T14:00:00.000Z,20.43,GBP/MWh,nordpool.com
GB,2026-09-06T15:00:00.000Z,91.3,GBP/MWh,nordpool.com
NL,2026-09-05T15:00:00.000Z,46.94,EUR/MWh,nordpool.com
NL,2026-09-05T16:00:00.000Z,150,EUR/MWh,nordpool.com
NL,2026-09-05T17:00:00.000Z,192.22,EUR/MWh,nordpool.com
NL,2026-09-05T18:00:00.000Z,217.18,EUR/MWh,nordpool.com
NL,2026-09-05T19:00:00.000Z,224,EUR/MWh,nordpool.com
NL,2026-09-05T20:00:00.000Z,215.89,EUR/MWh,nordpool.com
NL,2026-09-05T21:00:00.000Z,196.36,EUR/MWh,nordpool.com
NL,2026-09-05T22:00:00.000Z,175.7,EUR/MWh,nordpool.com
NL,2026-09-05T23:00:00.000Z,182.52,EUR/MWh,nordpool.com
NL,2026-09-06T00:00:00.000Z,184.32,EUR/MWh,nordpool.com
NL,2026-09-06T01:00:00.000Z,164.09,EUR/MWh,nordpool.com
