zone,datetime,carbonIntensity,type
PL,2026-09-05T19:00:00.000Z,558,forecast
PL,2026-09-05T20:00:00.000Z,566,forecast
PL,2026-09-05T21:00:00.000Z,557,forecast
PL,2026-09-05T22:00:00.000Z,551,forecast
PL,2026-09-05T23:00:00.000Z,549,forecast
PL,2026-09-06T00:00:00.000Z,551,forecast
PL,2026-09-06T01:00:00.000Z,546,forecast
PL,2026-09-06T02:00:00.000Z,545,forecast
PL,2026-09-06T03:00:00.000Z,546,forecast
PL,2026-09-06T04:00:00.000Z,543,forecast
PL,2026-09-06T05:00:00.000Z,526,forecast
PL,2026-09-06T06:00:00.000Z,487,forecast
PL,2026-09-06T07:00:00.000Z,441,forecast
PL,2026-09-06T08:00:00.000Z,396,forecast
PL,2026-09-06T09:00:00.000Z,391,forecast
PL,2026-09-06T10:00:00.000Z,398,forecast
PL,2026-09-06T11:00:00.000Z,398,forecast
PL,2026-09-06T12:00:00.000Z,410,forecast
PL,2026-09-06T13:00:00.000Z,419,forecast
PL,2026-09-06T14:00:00.000Z,458,forecast
ES,2026-09-04T15:00:00.000Z,116,history
ES,2026-09-04T16:00:00.000Z,158,history
ES,2026-09-04T17:00:00.000Z,234,history
ES,2026-09-04T18:00:00.000Z,264,history
ES,2026-09-04T19:00:00.000Z,262,history
ES,2026-09-04T20:00:00.000Z,255,history
ES,2026-09-04T21:00:00.000Z,252,history
ES,2026-09-04T22:00:00.000Z,258,history
ES,2026-09-04T23:00:00.000Z,248,history
ES,2026-09-05T00:00:00.000Z,231,history
ES,2026-09-05T01:00:00.000Z,231,history
ES,2026-09-05T02:00:00.000Z,235,history
ES,2026-09-05T03:00:00.000Z,237,history
ES,2026-09-05T04:00:00.000Z,235,history
ES,2026-09-05T05:00:00.000Z,240,history
ES,2026-09-05T06:00:00.000Z,219,history
ES,2026-09-05T07:00:00.000Z,165,history
ES,2026-09-05T08:00:00.000Z,104,history
ES,2026-09-05T09:00:00.000Z,77,history
ES,2026-09-05T10:00:00.000Z,76,history
ES,2026-09-05T11:00:00.000Z,76,history
ES,2026-09-05T12:00:00.000Z,76,history
ES,2026-09-05T13:00:00.000Z,75,history
ES,2026-09-05T14:00:00.000Z,85,history
ES,2026-09-05T14:00:00.000Z,78,forecast
ES,2026-09-05T15:00:00.000Z,87,forecast
ES,2026-09-05T16:00:00.000Z,116,forecast
ES,2026-09-05T17:00:00.000Z,157,forecast
ES,2026-09-05T18:00:00.000Z,185,forecast
ES,2026-09-05T19:00:00.000Z,192,forecast
ES,2026-09-05T20:00:00.000Z,193,forecast
ES,2026-09-05T21:00:00.000Z,197,forecast
ES,2026-09-05T22:00:00.000Z,205,forecast
ES,2026-09-05T23:00:00.000Z,208,forecast
ES,2026-09-06T00:00:00.000Z,209,forecast
ES,2026-09-06T01:00:00.000Z,213,forecast
ES,2026-09-06T02:00:00.000Z,214,forecast
ES,2026-09-06T03:00:00.000Z,218,forecast
ES,2026-09-06T04:00:00.000Z,224,forecast
ES,2026-09-06T05:00:00.000Z,232,forecast
ES,2026-09-06T06:00:00.000Z,199,forecast
ES,2026-09-06T07:00:00.000Z,126,forecast
ES,2026-09-06T08:00:00.000Z,87,forecast
ES,2026-09-06T09:00:00.000Z,79,forecast
ES,2026-09-06T10:00:00.000Z,75,forecast
ES,2026-09-06T11:00:00.000Z,71,forecast
ES,2026-09-06T12:00:00.000Z,70,forecast
ES,2026-09-06T13:00:00.000Z,71,forecast
ES,2026-09-06T14:00:00.000Z,74,forecast
GB,2026-09-04T15:00:00.000Z,148,history
GB,2026-09-04T16:00:00.000Z,179,history
GB,2026-09-04T17:00:00.000Z,203,history
GB,2026-09-04T18:00:00.000Z,208,history
GB,2026-09-04T19:00:00.000Z,195,history
GB,2026-09-04T20:00:00.000Z,186,history
GB,2026-09-04T21:00:00.000Z,180,history
GB,2026-09-04T22:00:00.000Z,169,history
GB,2026-09-04T23:00:00.000Z,161,history
GB,2026-09-05T00:00:00.000Z,144,history
GB,2026-09-05T01:00:00.000Z,141,history
GB,2026-09-05T02:00:00.000Z,143,history
GB,2026-09-05T03:00:00.000Z,148,history
GB,2026-09-05T04:00:00.000Z,161,history
GB,2026-09-05T05:00:00.000Z,183,history
GB,2026-09-05T06:00:00.000Z,185,history
GB,2026-09-05T07:00:00.000Z,169,history
GB,2026-09-05T08:00:00.000Z,154,history
GB,2026-09-05T09:00:00.000Z,134,history
GB,2026-09-05T10:00:00.000Z,123,history
