zone,datetime,value,unit,source,temporalGranularity
DK-DK1,2026-09-06T07:00:00.000Z,82.61,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T07:15:00.000Z,58.21,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T07:30:00.000Z,12.24,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T07:45:00.000Z,7.49,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T08:00:00.000Z,2.42,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T08:15:00.000Z,0.8,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T08:30:00.000Z,0.02,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T08:45:00.000Z,0,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T09:00:00.000Z,0,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T09:15:00.000Z,0,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T09:30:00.000Z,0,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T09:45:00.000Z,0,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T10:00:00.000Z,0.1,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T10:15:00.000Z,0.98,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T10:30:00.000Z,1.27,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T10:45:00.000Z,1.33,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T11:00:00.000Z,0.5,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T11:15:00.000Z,1.33,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T11:30:00.000Z,1.33,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T11:45:00.000Z,1.34,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T12:00:00.000Z,0.1,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T12:15:00.000Z,0.1,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T12:30:00.000Z,0.1,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T12:45:00.000Z,0.1,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T13:00:00.000Z,0,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T13:15:00.000Z,0,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T13:30:00.000Z,0,EUR/MWh,nordpool.com,
DK-DK1,2026-09-06T13:45:00.000Z,0.07,EUR/MWh,nordpool.com,
